rating,review
50,"This was one of the highlights of our trip! What a fantastic place to stay. The room was spotless (no bugs or spiders as some other posts had indicated) and comfortable. We loved the privacy from our room and deck and that we got to wake up to the sound of the jungle every morning.   There is not a lot of sound proofing as the windows are a screen so you can hear the restaurant and late arrivals but it is well worth it for the airflow and waking up to the sound of birds and howler monkeys!  The restaurant is beautiful, the staff are lovely and the food is okay. We spend 3 days at the lodge and by the end I was a little tired of the menu. That being said it is amazing the menu is so large and food is as good as it is given the location...I mean you are right in the jungle!  The"
50,"We LOVED our stay at the Jungle Lodge. The surroundings are beautiful, the people are unbelievably friendly, and the room was amazing. We felt incredibly lucky to be staying at such a beautiful location. The bed was great too and the toiletries smelled amazing. Only downside was the poor water pressure in the shower, but one cannot have everything. If you have the chance to stay at this hostal or the hotel - go for it! We had a room with a private bathroom. If you are staying here, book the sunrise tour with Tony as your guide. You will beat the crowd from Flores and will have a quiet moment before the big group from Flores comes in and everyone in that group starts unpacking their backpacks noisily (We personally felt the number or people on the temple should be restricted and"
20,"The obvious pro is that this place is right next to the entrance to Tikal.  Rooms are decently appointed.  Bathrooms are clean if you’re the first to use it after housekeeping otherwise the other guests are quite dirty.    They don’t seem to check emails after 5pm so I had to pay extra to arrange private transport the next day.    Then they gave me the worst room right next to the restaurant, when I checked in relatively early.  You will not get any peace and quiet until after 11pm.  You won’t get soothing jungle noises, all you’ll get are loud Europeans talking at dinner.    Again this seems to be a common theme in Guatemala, that Asian travelers like me are discriminated against in terms of room assignment. "
50,"So exiting to wake up in the middle of the night to roars of howler monkeys, First thought it was jaguars before heart rate returned to normal. Really great tours with great guides. Clean and nice establishment, Very friendly and helpful staff. Good drinks and food. Only bad was getting an extra lunch by some other guest on our tab. It was finally solved, but unneccessary. Suggest they start to ask to see room key before registering tabs. Anyway, we strongly recommend staying here, lovely place!"
50,"Jungle Lodge Hotel ( and their remarkably clean hostel) is the only hotel in Tikal National Park. The casita was elegant, extraordinarily clean with great beds. The food is good and priced reasonably in the restaurant. They arranged English-speaking guides for an architecture and a sunrise tour of Tikal. The best way to communicate with front desk is by PM on their Facebook page."
40,"We had a very pleasant stay at hotel Jaguar Inn in Tikal! 4 of us were travelling together and booked one of their bigger rooms which was great! The check in was easy and the front desk person spoke great English and was quick to check us in. The fan was enough to keep us cool enough at night and I slept well. The room was clean but the top comforter looked worn and maybe as if it hadn't been washed in a while - but hey, you're in the jungle in Guatemala about to see one of the coolest ruins on Earth! We had hot water for our shower and power whenever we needed it in our room. Wifi was available when the restaurant was open if you needed to use it. I was very impressed by the restaurant and had some great food there and loved eating outside after dark by candle light. It was a"
40,"We stayed at the Jaguar Inn for two nights in mid November and it was great. The hotel was very quiet as it was the beginning of high season. We got a room with a king size bed, mosquito nets on each window (remember it's a Dengue and Zika mosquito zone!) and a basic but perfect working toilet. Every room has a little terrace with an hammock, perfect to relax after a long walk while you listen to all the birds and howler monkeys. We even saw a toucan from our room! The hotel is right next to the entrance of the park so it's very convenient if you want to visit the archeological site. We did the day tour and the sunrise tour thought the hotel and the guide, Obdulio, was superb! He used to be a Tikal park ranger before being a tour guide so he's the guy for the job!"
30,"We were looking for a hotel very close to the Tikal archeological site entrance, and this is it! It’s just a minute walk from it. On top the hotel is nice and clean, but the room was very basic (big window overlooking the common garden without lace curtains, no decoration at all, furniture not very well maintained). Premises are nice and the restaurant is very good. However the beast by far is the staff, all of them have been helpful and extremely nice."
10,We stayed here for one night to enter the park very early. The room smelled bad and wasn't clean. Shower was cold all the time. The interior was really unloving. It' s much too overpriced. The hotel is run down. The staff is friendly. 
50,Very nice setup in the middle of the jungle.  Rooms where nice and well kept.  Internet was slow and available for free until 8:00 pm.  At 8:00 pm power plant is shut down and they have a very well run battery back up system that powers light and ceiling fans.  Overall a very nice place if your plan is to take the sunrise tour of Tikal
50,"Chanceux du guidage de Bélinda De la belle journée pas trop chaude  Du peu de monde sur le site ( bien qu'il soit très visité) SITE EXTRAORDINAIRE  Chanceux d'avoir vu les singes hurleurs, atèles, un oiseau de la famille du quetzal, le pic-vert etc....Les tsillandias , les orchidées etc.... La puissance de ces constructions MERCI"
20,"Hatten unsere eigenen Hängematten dabei, deshalb war es sehr preiswert. Die Lage  auch sehr schön und die Ausstattung ausreichend. Nur hatten wir das Pech, dass in der selben Nacht eine Gruppe von über 20 Einheimischen inkl Kindern dort ein Familienfest abhielten. Sie waren alle samt die GANZE Nacht über so unverschämt laut, dass wir kein Auge zubekamen. Der Platzwächter hatte zuvor noch behauptet er wäre nachts auch anwesend, doch dem war nicht so. Wir wurden mit dem Problem komplett alleine gelassen. Zudem mussten wir ihn am Tag der Abreise über 20Minuten lang suchen weil er irgenwo am Biertrinken saß, weshalb wir fast ubseren Bus verpassten."
50,"J’ai fait la visite du site de Tikal avec Fernando, guide parlant le français. De manière très intelligente, il m’a fait faire le tour du site à l’envers et par des petits chemins de travers, ainsi, aucun touriste, que la nature et les animaux, singes hurleurs, oiseaux, magnifique jungle, il avait une très grande connaissance des arbres et de la médecine  Traditionnelle. 4h de balade très intéressante."
50,"«Тикаль» расположен в 495 км от Гватемалы и всего в 64 км от Флореса.  Первые исследования заброшенных руин начались в конце XIX в., но только с 1955 г. они приняли систематический характер. В этом же году «Тикаль» объявили национальным парком, хотя ранее, в 1931 г., его признали Национальным гватемальским памятником. Национальный парк «Тикаль» в 1979 г. был включен в Список Всемирного культурного наследия ЮНЕСКО. Центр Тикаля — большая площадь Гранд-Плаза. С восточной и западной её стороны, возвышаются две пирамиды. К двум храмам на самых верхних площадках пирамид, которые в современный период назвали храмом Великого Ягуара и храмом Масок, ведут крутые каменные ступени.  Это место впечатляет своей красотой и величественностью сооружений , прогулка здесь не оставит равнодушным"
10,"Que lastima que las instalaciones de los baños estén en pésimas condiciones, el encargado tiene todo muy limpio, pero las regaderas no tienen manerales, no tienen la regadera, no hay espejo, las puertas no funcionan, no hay luz.  Lo peor es que te cobran y te dicen que todo está en buenas condiciones.  Muy mal para la administración del parque!"
20,"This place may be spoiled by the tourists, my sense the service here was not matching the amazing location and the price. Most of the waiters didn't speak English thus we had problem on orders, and finally paid more due to communications. The path to the bungalows was quite hard for ladies and old people carrying cases, so many staffs in lobby but no one gave a hand. The bed was quite doubtful,we found insects at the first sight, and afterwards all of us were bothered by louses."
30,"This is a really good hotel next to the Mayan ruins at Tikal. The accommodation is excellent, with individual chalets apart from the main building. However, the hotel is run on an American basis. The restaurant has variable service; evening meals are generally very good and a reasonable price, but breakfasts were a farce.  Service was very slow, despite there being very few customers and the American breakfast was rubbery scrambled eggs and a few small pieces of what we finally decided was bacon, although it looked more like deep fried prawns! The breakfast came in dribs and drabs, with toast coming first, followed by the eggs and bacon, with a pot of jam (jelly), followed about 15 minutes later by fruit juice.. Pity about the restaurant service, because this could be a really"
50,Very nice Lodge to stay at while visiting Tical. We stayed in the hostel part of the lodge. Actually found this to be the most luxury hostel I ever stayed in. Beautiful clean room with fan and mosquito net. The bathrooms were like 4 star hotel bathrooms. Hard to Belize. After exploring the ruins you can relax at the bar pool with loungers and free towels. I found the restaurant very good. The food tasty and large portions àt a reasonable price. Caution don't take the sunrise tour unless you know there will be clear skies. We knew it would be cloudy but they told us it is still awesome to see. Well it's not. After an hour walking in the dark we were seated at the top of the pyrimid. Not only was it cloudy it was also foggy. We saw nothing by daylight.
50,"Great hotel in the middle of the jungle. WAke up with  the rest of the jungle. Go with guide Cesar for the Sunset tour, your mind will be blown away. I will never forget this! Go and see for yourself. Ask die Cesar.             "
50,"We (my parents, my husband and myself) had a wonderful stay in the Jungle Lodge. It is clean, comfortable and the garden is beautiful. The highlight of our trip was a great sunrise tour of Tikal by Cesar. My husband and I live in Central America and have visited many different Mayan sites over the years. Cesar was the best tour guide we’ve had. He is not only very knowledgeable, he also makes you dream, imagine and wonder about life that once was in the Mayan world."
50,"I went there with my husband and our 2 kids. Our room was beautiful, quiet and clean. The feeling of seeing nothing but the jungle is breathtaking. The service was great and the food was delicious. Overall a great experience."
50,"What a fantastic experience! Our cabin was so clean and right next to the main building, restaurant, and beautiful pool.   We selected the sunrise hike through the jungle and ruins. We bought our tickets the night before when we entered the park. Hold off on paying for a tour guide, which can be scheduled at the lodge.  Tony-the owner of the lodge- does the sunrise tour every morning. He was a fantastic guide with so much insight about the history of the sites. He shared stories from his time spent in Tikal at the archeological sites.   I recommend the lodge and the tour to anyone passing by or through Tikal!  We flew in to Belize City and went to Tikal specifically to see the ruins and experience the jungle. It was amazing."
40,"My boyfriend and I stayed at Jungle Lodge Tikal for one night. It's such an amazing experience! The hotel, restaurant and staff are great! It's a fantastic place in the jungle.  We would definitely recommend a sunrise tour with Tony! Even though it was too cloudy for a sunrise, it still was the most amazing tour! Tony has so much knowledge, and he's lovely to listen to. Don't miss out on this one 😉"
40,"We had the best time here at the lodge, everyone was kind and very accommodating. We especially loved our tour guide Toni who took us on a sunrise tour through the ruins. He is absolutely amazing and full of so many facts.   The food at the lodge was pretty good but slightly expensive for backpackers but in saying that their isn’t many places within the park to eat.  The lodges surroundings are stunning and we saw to many birds and monkeys. It also had a huge swimming pool, mini cinema that always showed documentaries.  "
40,"Clean and contemporary, Tikal's Jungle Lodge is a great place to be for visiting the National Park and seeing the extraordinary archaeological site. The staff is very friendly and helpful. The recent renovation is very well done. Details are finished to a high level of  craftsmanship. Though more boutique in character than luxurious, the rooms are very comfortable and there are plenty of amenities (game room, movie theater, swimming pool) to give families ways to relax after viewing the Mayan temples. The restaurant serves breakfast, lunch and dinner with a broad selection of cuisines, the local Petén dishes being our favorites. Try the Chiltepe Steak. It is marvelous. Reservations are handled by third parties at the moment. Adding reservations to their website would be a"
50,"We were not expecting a lot based on some reviews but we enjoyed our stay. The room is basic but we had no complaints. The food in the restaurant was great, the service was very good. Shout out to our waiter: Pablo - lovely guy."
40,"Finally a place that is honest about their strengths and limitations.   They’re in the park so the facilities are basic. The staff are very helpful and several speak more than one language.   The power goes out at 8pm so be prepared for that and there are various times in the day when water isn’t available. This is all explained clearly when you arrive though. There is some WiFi for a bit in the day, but it’s only strong enough for text messages, don’t get your hopes up for anything more.   You’re kind of stuck with eating at the hotel restaurant as it’s so remote but that’s ok, all the food we had was fine. Breakfast doesn’t start until 7am which is a bit of a shame as the park opens at 6am. That’s just something to be aware of. "
40,"The Jaguar Inn and two other hotels are the only ones in the park right near to the Tikal ruins, so they have a monopoly and need not try too hard. They charge as much as most good hotels but don't offer the amenities. Yes, there are specific times that the electricity and water are turned off (in mid-morning, mid-afternoon, and all night). I understand that it's saving energy, but I would fill the plastic garbage can with water just in case my lady or I had to flush in the night. Because of this lack of consistent power, there are no fridges in the rooms either. The rooms are comfortable, at least more comfortable than the tenting, which is also available, but ours didn't get cleaned until later in the day. It was surprisingly chilly at night, but when the howler monkeys"
30,"The rooms are nice, electricity (and thus water pressure) is restricted but not a big deal.  The restaurant is lacking in variety and flavor.  No coffee early AM so you have to fend for yourself. They provide you with a plastic cup of drinking water and you have to buy more water in plastic bottles.  They have no desire to offer water to refill your own bottle....not even for a charge. This is the tropics folks.....and water is a necessity....I find it unacceptable not to provide drinking water for your guests, especially considering the remote location!!!!!"
50,Just in the middle of a 2 night stay ! Perfect ! If you stay here you must embrace the location and that you are staying in the national park If you want a 5*hotel then stay in the city .. The hotel management and staff are most helpful .  Ignore any negatives about the food ! Perfectly acceptable cuisine . Great GNT in hot countries you would expect problems on the Vino front due to storage however no problems here perfect !  Now a few items you need to know !! It is impossible to buy and entrance ticket from the entrance here you can only buy from actual park fare 17k away so buy as you pass through ! You need you passport too   However the manager helped me as I wanted a second days pass and will send a bike to the gate on your behalf for 50quetzals  Transport ! Back to
50,I loved our relaxing stay at Tikal Inn.  The rooms and grounds were clean and immaculate.  The pool was wonderful. The hotel is a 3 min walk to the entry to Tikal.  Best of all Ricardo and his sister Roxy were so helpful and friendly. Roxy drove my family and another traveller to Remate (she was running errands that day and it was on her way) to our connecting microbus and told such amazing snake stories!  Ricardo gave us lots of info and really made us feel like such welcome guests.  Great stay.
50,"Absolutely delightful hotel with beautiful grounds. If you are lucky to get one of the rooms next to the pool you are in for a treat. After a day walking around Tikal this is a sanctuary to return to with such a lovely pool and friendly, helpful staff. In addition they do a great Pina Colada!"
40,"Everything was fine about the hotel and I don’t understand the complaints.  I had a more distant room which was cheaper but I liked it because there were so few people around and it was quieter. Apparently there had been a jaguar cub hanging around the hotel recently but I wasn’t lucky enough to see it. I enjoyed the birds and howler monkeys. The only time that limited electricity was a problem was when I used up my phone battery taking photos and suddenly realized I couldn’t recharge it in the hotel.  I travel a lot in Guate and services around Tikal have a “pressure the tourist” vibe that I’m not used to. I got a room for $67 US (tax included). On check in I was offered a package with the sunrise tour,  dinner and breakfast. I was too tired to shop around and I probably should"
40,"This was a great in the jungle. And remember that, you are in the jungle. The stay here was made great because of the manager, Ricardo. He was soooo helpful with absolutely anything we needed. From tours, to highlights around the area, to getting us transportation back to the airport. He belongs in a Four Seasons somewhere!  The hotel and rooms are nice. We went with the bungalow, which is more, but worth it. Wifi was ok, but its the jungle, so expected. Electricity wasn't on all day, only mornings and evenings, but most of the time we were at Tikal so didn't matter to us.  The pool is refreshing for when you come back from your hikes. The food in the restaurant is ok. Nothing special. The mixed drinks were really good though! There are also drinks and snacks you can purchase"
40,"My husband and I stayed at the Tikal Inn for two days, while we visited the Tikal Ruins. We were greeted by Ricardo, who really went above and beyond, to make sure we were well-informed and that our stay at the Inn was pleasant. We speak very little Spanish, so we were lucky that Ricardo’s English was perfect and that he was so eager to help and knowledgeable of Tikal.   We booked a poolside Bungalow, and we found it to be clean and comfortable. Our room had a hot shower, large soft towels, mosquito nets and fresh bedding. I think the thing people need to keep in mind is that we are in the middle of the jungle...there will be internet outages (it’s satellite) and times during the day where you don’t have power. If this is an issue for you, book yourself a trip to Miami, not to a"
30,The main advantage of this lodge is its proximity to Tikal. The rooms are nice and comfortable. The food is rather ordinary. The people at the front desk are not particularly smily.  This is a place to spend one night and go back to Flores. There is not much more to do than to visit the park.
40,"Arriving in the evening, we had a warm welcome and the room was ready for us. We booked a standard room which was of sufficient size for two pax with carry-on luggage. The bathroom is large enough with a comfortable shower and hot water at all times. Overall great value for the money you pay and we didn’t opt for luxury in the middle of the jungle for our one-night stay, even though the hotel offers way much larger rooms.  The restaurant offers a mix of international and regional dishes of solid quality to please everyone’s taste; service is very friendly and efficient.   Jungle Lodge also helps arranging tours and guides, so we booked the sunrise tour with them, which turned out to be one of the most impressive experiences during our honeymoon trip."
50,"Everything was great, the rooms and bathrooms were very nice and clean. The property is beautiful, immaculately landscaped and fits perfectly in the jungle environment where it is set.   The restaurant is very nice, our food was delicious for both dinner and breakfast, and it was not overpriced for a resort of that type.   The only thing this hotel failed at was timely email communication about important things like arranging transport and tours. However, for transfers to and from the hotel and a great private tour into the ruins of Tikal, we ended up using Elmer at Tikal VIP Tours and his services were stellar. I would highly recommend. His agency has a profile here on TA.   The best part of our short stay really was the wonderful staff at the restaurant who was so cordial,"
40,If you want to get into Tikal early this is the perfect location at the gates which open at 6am. They organised excellent breakfast box which we ate on our own in Tikal grand plaza at dawn. Magical! Rooms just fine and restaurant better than many said. Pool great for birdwatching and spider monkeys swinging through the trees 
40,"Given that you are in the middle of the jungle, the Jungle Lodge Hotel does well on almost all fronts. We had a small room cabin and found it satisfactory for our family of three. The room was clean, beds comfortable and facilities of a good standard. Electricity (via generator) is switched on and off throughout day and night at scheduled times, but a ceiling fan continues to be powered 24/7. The hot water supply is variable and, I suspect, reflects demand.  The public spaces are good, a games room provided plenty of entertainment for us all. The pool is small but great for cooling off and refreshing yourself after a tour of the park. Wifi is available in public spaces and around the pool only. It's patchy and slow, but not unexpected.  The restaurant was better in the evening"
50,"Me and my girl gang managed to get the best guide on the block to tour the park. He spoke both fluent english and spanish and knew the rich cultural history of the site as well as had knowledge about the local flora and fauna. I was astonished by his breadth of knowledge!! I even took some notes. The park itself was fantastic, there are rules for aircraft and  drones placed to protect wildlife with is totally rad. I would definitely return here! "
30,"We stayed in hammocks the night before visiting the ruins. It was difficult finding enough info about how to do it, you can't book in advance. Turned out to be more expensive than we expected. 50Q to stay at campsite, then 50Q to hire a hammock each (70Q for a tent). It was a cool experience with the howler monkeys all night, but difficult to sleep. It was great to wake up and go straight into the park with hardly anyone around. Facilities are basic, but what do you expect when camping in the jungle?!"
50,"Visiting during the rainy season ensures that there are fewer people in the park which makes the experience more enjoyable. Also, try the sunrise tour, it's wonderful to see the sun rising above the jungle canopy. Truly a wonderful place."
40,"We were staying in Belize, rented a car from Crystal car rentals and took a day trip to Tikal. It was a nice drive - roaders were not bad and GPS worked well.  At Tikal it was a lot of walking up and down all the ruins. We had went hiking the day before so we were a already worn out but the view was breath taking. If I were togo back I would make sure to rest up the day before and it would be nice to try the hotel the have in the park - to wake up at sunrise and see everything. "
40,The camp-site offers basic accommodation and amenities. The camping ticket must be bought at the National park entrance for Q50 then another Q50 if you need to rent hammock. There is no safe drinking water but there is “comedor” to buy and have a basic stuff to survive. The big adventure is that you are on of the first to enter the ruins experience something unusual.
50,"We stayed here for one night on our recent visit to the ruins. Located inside the National Park, this jungle lodge has a perfect location.  The rooms have a bed and a ceiling fan and some shelves and mosquito net. Very clean rooms and no complaints there. The common bathrooms are also well maintained. The electricity is switched off certain times of the day and the internet is available only in the common areas.  The staff are extremely friendly  and attentive. There are plenty of vegetarian options for food and they are all good.  There is plenty of wildlife to be seen around the property - toucans , agouti, howler monkeys and lots more birds if one keeps a lookout.  We definitely enjoyed our stay here and will highly recommend."
40,We thoroughly enjoyed our stay at the jungle lodge. It is set in a lush jungle and it’s main draw is how close it is to Tikal (which by the way is absolutely magical!). We were welcomed by excellent staff on the front desk who were very helpful and organised our tours and taxis. The food is fine (pasta was delicious) and the bathrooms are clean and spacious. The room is all you need it to be although the bed does feel small if you’re used to King sizes. The pool at the lodge is gorgeous and you can hear the animals and birds while lounging but my personal highlight of our stay was the family of howler monkeys outside the room (although they are loud!). It was wonderful to be so close to nature. I would highly recommend this lodge if you wish to visit Tikal.
50,We stayed here 3 nights and found plenty to do. Meals are very good and bar is lovely.  Room 19 is clean and large with a ceiling fan that runs all night! Car rental from airport is very reasonable. Don’t drive at night tho. 
50,"Excellent hostel offering same comfort as the hotel. It worth the price without a doubt since sleeping in the park allows you to get in into Tikal at 4am or 6am... without anyone else than you... just magical. Must buy your ticket in advance, before arriving at the hotel. If you don't have your ticket you will have to go back outside the park to buy it and come back inside the park.... 30km!!! Food ok, you have nice and cheap options near the hotel as well. You will sleep with forest and wild animals noises... fabulous!"
50,"The location is incredible for wildlife - we saw a troop of Howler Monkeys less than a hundred feet from our room, Coati, Ocellated Turkey, Parrots, and many other birds. The grounds are beautiful and well maintained. We believe this is the best place to stay in the area. We had walked to the neighboring lodges, which made us appreciate the Jungle Lodge even more. Not to mention, the price is great Make sure you exchange currency in advance to pay admission for the park (purchased on your way to the lodge) and if you would like to purchase souvenirs (available just outside of the grounds to the lodge).  Note: Gratuity is already included in bill at restaurant, although stated in Spanish (We accidentally tipped twice).  You may want to bring earplugs, half of the hostals are"
50,"This place deserves every star it can get. It is conveniently located right in the heart of the park just a few steps from the gateway to the ruins. It is a family owned business run by staff that are kind and considerate as it comes. One must know before you go, that at all 3 hotels in Tikal park that electricity and wifi is limited, as you are literally in the heart of the jungle. I didn't know any of this going into it, as I just arrived on a whim for a few nights stay. Upon arrival, I discovered how wonderful their concierge was and chose to book an all inclusive food and tour package - the sunset tour, the sunrise tour and the archeological tour. I never do this, but I was so impressed by how welcoming they were that I just decided to go for it, and it was worth every"
40,"Nice sized bungalows, good food and drinks in the restaurant, relaxing pool, friendly staff, and very conveniently located near the ruins.  A lot of wildlife and birds all around with howler monkeys up in the treetops.  Limited electrical at night and mornings and weak WiFi, with occasional hot water."
40,Stayed at the Tikal inn and it was comfortable and really friendly.  We were up to see the sunrise at 04:00 and the coffee was made and waiting for us.... bottom line it’s a great place to stay if you want to explore the ruins.... take a guide it’s well worth it.
50,"We knew that electricity was available only a few times a day and that wi-fi was spotty.  This is easily discoverable by reading reviews and considering where one is.  This is true of all three inns in Tikal, so I personally do not understand anyone removing stars for this.  We were very happy with our accommodations and pleased to find out that it was only a few steps further away from the park than the other inns.  The map made it look as if it were much further away.  It was a short, easy walk to the park, even for me with recent foot surgery  We personally found the food to be great, especially the chicken burrito and breakfast.  We did not hire a guide for Tikal and spent two days (walking 15 miles) covering the site.  We did use Andres to tour Uaxactún.  We had the site"
40,Other people have commented on the limited Wi-Fi and limited electricity— so give yourself the time to sink into this world apart We had two days and wished we had three . Roxy is terrific and try to book a private tour with her. We thoroughly enjoyed Andress and his archaeological tour. It was well paste to really take in and appreciate the surroundings and have access to him to ask questions. He was knowledgeable and gracious. We ended up eating our dinners in the restaurant and enjoyed the convenience and the solidly good food and drink. We did use the pool one day and enjoyed a break there. Try to book one of the cottages although we were in the furthest building and still enjoyed our stay. Nothing will prepare you for the roar of the howler monkeys towards Dawn!
50,"Cesar gave us an incredible tour of the park at sunset. Super knowledgable guide. It is worth staying here so you can have access to guides like him. You will learn a ton about Mayan history, government, philosophy, religion, etc."
10,"We came for the sake of park and tours. Really poor tours. Cesar was a terrible guide, who was leaving tourists at night in the jungles if they are not as fast as he is (he was walking at a crazy pace). Jungles have jaguars, pumas, crocodiles and poisonous snakes but he didn't care if someone get lost or attacked. The tour itself was a combination of a few Wikipedia facts mixed with Dan Brown conspiracy theories (I'm not joking, the guy was telling unproven , anti-scientific BS). Moreover, he was rude both with the tourists and the locals (e.g., ruined a local religious ceremony by his stupid Instagram selfie video and flash). Moreover, 2 different tours (sunrise and sunset) we're almost identical.  In addition, if you're late for 1 min they go without you but than can spend 40"
30,"The accommodation was superb, the staff mostly helpful and friendly.  The only really big downside was the quality of the food served in the hotel’s restaurant and that there weren’t any other better alternatives at other places.  We’ve been now almost a month in Guatemala and the food was by far the worst we came across during that time.  We talked to a lot of fellow travellers who thought exactly the same. Very disappointing for a hotel in this price class."
50,We loved our stay at the Jungle Lodge. The location can not be beat for exploring Tikal - especially if you are doing the sunrise hike. The rooms were great and comfortable and the pool was lovely - with spider monkeys and toucans visiting us in the trees each afternoon.
40,"We stayed in one of the Junior Suites at the Jungle Lodge Hotel for two nights and really loved it. Our room was immaculately clean, and the bed was super comfortable. I had 2 of the best night's sleeps that I had gotten in a while. The room was surprisingly pretty upscale considering the location in the middle of nowhere. Out of the three hotels in the park, this one is definitely the upscale option. (There is a mid-range option and a budget option from the other two.)  As others have mentioned, there is no electricity in Tikal National Park and all of the hotels are run by generators. Therefore, electricity is only on at certain times during the day. We knew this prior to our arrival so we were prepared for this, but it seems like not everyone is aware of this. Definitely keep"
50,"Clean, modern, compact rooms. Electricity only runs for selected hours of the day (so plan around that), although the ceiling fan in the room runs 24 hours (and seemingly (at least in my room) if you run the fan the ceiling light will also work). I’ve reached an age where I generally say no to shared bathrooms, however the shared bathrooms at the Jungle Lodge were modern, spacious and kept impeccably clean.  Didn’t try the restaurant as I was recovering from some earlier food ‘upsets’ while I was visiting, but  the food I did see there looked delicious.  Highly recommended. "
